id,fire_name,fire_started_date,fire_extinguished_date,archive_year,county_id,state,cause_id,cause_description,percent_contained,total_acres_burned,major_incident
252,Ascot Fire,2015-07-10,2015-07-10,2015,48,CA,14,Unidentified,100,40,t
253,Chiles Fire,2015-06-16,2015-06-17,2015,28,CA,14,Unidentified,100,38,t
254,Browns Fire,2015-09-08,2015-09-10,2015,53,CA,14,Unidentified,100,35,f
255,Covelo Fire,2015-06-28,2015-06-29,2015,23,CA,14,Unidentified,100,35,f
256,McCourtney Fire,2015-09-22,2015-09-21,2015,29,CA,14,Unidentified,100,30,f
257,Kramer Fire ,2015-08-29,2015-08-30,2015,18,CA,14,Unidentified,100,30,f
258,Francis Fire,2015-08-03,2015-08-05,2015,58,CA,14,Unidentified,100,30,f
259,Baxter Fire,2015-07-22,2015-07-22,2015,31,CA,14,Unidentified,100,26,f
260,Park Fire,2015-07-24,2015-07-25,2015,37,CA,14,Unidentified,100,25,f
261,Betabel Fire,2015-07-20,2015-07-20,2015,35,CA,2,Equipment Use,100,25,f
262,Dorris Fire,2015-07-21,2015-07-22,2015,47,CA,14,Unidentified,100,24,t
263,Soda Fire,2015-07-04,2015-07-05,2015,23,CA,1,Lightning,100,23,f
264,Grade Fire,2015-08-24,2015-08-25,2015,17,CA,2,Equipment Use,100,22,f
265,Gibraltar Fire,2015-10-29,2015-11-09,2015,42,CA,14,Unidentified,100,21,f
266,Spider Fire,2015-07-12,2015-07-12,2015,33,CA,2,Equipment Use,100,21,t
267,Pleasure Fire,2015-06-27,2015-06-28,2015,28,CA,14,Unidentified,100,19,f
268,Keswick Fire,2015-07-07,2015-07-08,2015,45,CA,14,Unidentified,100,18,t
269,Buck Fire,2015-07-28,2015-07-31,2015,12,CA,14,Unidentified,100,16,f
270,Washington Fire,2015-06-19,2015-06-22,2015,2,CA,14,Unidentified,100,0,f
271,Soberanes Fire,2016-07-22,2016-10-13,2016,27,CA,4,Campfire,100,132127,t
272,Erskine Fire,2016-06-23,2016-07-11,2016,15,CA,14,Unidentified,100,48019,f
273,Chimney Fire,2016-08-13,2016-09-06,2016,40,CA,14,Unidentified,100,46344,t
274,Blue Cut Fire,2016-08-16,2016-08-23,2016,36,CA,14,Unidentified,100,36274,t
275,Gap Fire,2016-08-27,2016-08-28,2016,47,CA,14,Unidentified,100,33867,f
276,Canyon Fire,2016-09-17,2016-09-27,2016,42,CA,14,Unidentified,100,12518,f
277,Pilot Fire,2016-08-07,2016-08-16,2016,36,CA,14,Unidentified,100,8110,t
278,Sherpa Fire,2016-06-15,2016-07-12,2016,42,CA,14,Unidentified,100,7474,t
279,Mineral Fire,2016-08-09,2016-08-18,2016,10,CA,14,Unidentified,100,7050,t
280,Cold Fire,2016-08-02,2016-08-12,2016,57,CA,14,Unidentified,100,5731,t
281,Trailhead Fire,2016-06-28,2016-07-18,2016,"9,31",CA,14,Unidentified,100,5646,t
282,Owens River Fire,2016-09-17,2016-09-18,2016,14,CA,14,Unidentified,100,5443,f
283,Marek Fire,2016-11-14,2016-11-14,2016,19,CA,2,Equipment Use,100,4824,f
284,Loma Fire,2016-09-26,2017-09-19,2016,43,CA,14,Unidentified,100,4474,t
285,Clayton Fire,2016-08-13,2016-08-26,2016,17,CA,14,Unidentified,100,3929,t
286,Metz Fire,2016-05-22,2016-05-25,2016,27,CA,5,Debris,100,3876,t
287,Curry Fire,2016-07-01,2016-07-05,2016,10,CA,14,Unidentified,100,2944,t
288,Pony Fire,2016-06-07,2016-11-08,2016,47,CA,14,Unidentified,100,2860,f
289,Soup Complex,2016-09-17,2016-10-13,2016,25,CA,14,Unidentified,100,2652,f
290,Willard Fire,2016-09-11,2016-09-22,2016,18,CA,14,Unidentified,100,2575,t
291,Coleman Fire,2016-06-04,2016-06-20,2016,27,CA,14,Unidentified,100,2520,f
292,Pine Fire,2016-06-30,2016-06-30,2016,56,CA,14,Unidentified,100,2304,f
293,Goose Fire,2016-07-30,2016-08-09,2016,10,CA,7,Arson,100,2241,t
294,Sacata Fire,2016-10-11,2016-10-20,2016,10,CA,14,Unidentified,100,2100,f
295,Sawmill Fire,2016-09-25,2016-09-29,2016,49,CA,10,Vehicle,100,1547,t
296,Dinosaur Fire,2016-06-25,2016-06-26,2016,24,CA,10,Vehicle,100,1246,f
