id,fire_name,total_acres_burned,county_id,injuries,structure_impacted
582,Riverbottom Fire,45,33,0,0
583,Pozo Fire,45,40,0,0
584,Grace Fire,45,45,0,0
585,Mines Fire,44,1,0,0
586,Roser Fire,43,52,0,0
587,Lockwood Fire,42,27,0,0
588,Jones Fire,42,25,0,0
589,Stokes Fire,41,19,0,0
590,Feed Fire,41,15,0,0
591,Riverdale Fire,40,33,0,0
592,Palm Fire,40,33,0,0
593,Freeway Fire,40,36,0,0
594,Lakewood Fire,40,15,0,0
595,Hole Fire,40,8,0,0
596,Translator Fire,40,12,0,0
597,Vestal Fire,40,52,0,0
598,Reservation Fire,40,27,0,0
599,Spenceville Fire,39,58,0,5
600, Bridge Fire,37,45,0,0
601,Banderilla Fire,36,22,0,0
602,Melba Fire,35,33,0,0
603,Spaletta Fire,35,21,0,0
604,Breckenridge Fire,35,15,0,0
605,Meyers Fire,34,36,0,0
606,Ellie Fire,34,33,0,0
607,Miller Fire,34,12,0,0
608,Christmas Fire,33,33,0,0
609,Creek Fire ,33,15,0,0
610,Sandy Fire,32,53,0,0
611,Shore Fire,32,27,0,0
612,Pleyto Fire,32,27,0,0
613,York Fire,31,27,0,0
614,Juniper Fire,31,10,0,0
615,Hub Fire,31,15,0,0
616,Castaic Fire,30,19,0,0
617,Blocksburg Fire,30,12,0,0
618,Timber Fire,30,33,0,0
619,Ice Fire,29,9,0,0
620,Benson Fire,29,52,0,0
621,32 Fire,28,4,0,0
622,4-4 Fire,28,25,0,0
623,Nuevo Fire,28,33,0,0
624,4-10 Fire,27,25,0,0
625,Vernon Fire,27,33,0,0
626,Jasper Fire,26,58,0,0
627,Trellis Fire,26,33,0,0
628,Fairview Fire,26,33,0,0
629,Cove Fire,25,40,0,0
630,Border 9 Fire,25,37,0,0
631,Hopper Fire,25,45,0,0
632,Sloane Fire,25,37,0,0
633,Road Fire,25,20,0,0
634,5 Fire,25,19,0,0
635,Ribbonwood Fire,25,37,0,0
636,Portola Fire,23,33,0,0
637,Edwards Fire,22,1,0,0
638,Refuge Fire,22,28,0,0
639,Mule Fire,21,17,0,0
640,Globe Fire,21,54,0,0
641,Blue Fire,20,12,0,0
642,Seine Fire,20,36,0,0
643,City Fire,20,16,0,0
644,Nacimiento Fire,20,27,0,0
645,Longhorn Fire,19,33,0,0
646,Sway Fire,19,12,0,0
647,Willms Fire,19,50,0,0
648,Bodega Fire,18,49,0,0
649,Lakeland Fire,18,4,0,0
650,Panoche Fire,18,10,0,0
651,Ramblin Fire,17,22,0,0
652,Corner Fire,17,45,0,0
653,Lonoak Fire,17,27,0,0
654,Matz Fire,16,36,0,0
655,Rusty Fire,16,10,0,0
656,Paskenta Fire ,15,52,0,0
657,Greenhorn Fire,15,29,0,0
658,Alvarado Fire,15,27,0,0
659,Lombardi Fire,15,5,0,0
660,66 Fire,15,33,0,0
661,Drum Fire,14,42,0,0
662,Coast Fire,14,42,0,0
663,Desabla Fire,14,4,0,0
664,Moraga Fire,14,33,0,0
665,Milton Fire,13,50,0,0
666,Woodland Fire,13,9,0,0
667,Rosado Fire,13,9,0,0
668,Pacific Fire,12,4,0,0
669,Shandon Fire,12,40,0,0
670,Jameson Fire,12,33,0,0
671,Independence Fire,11,49,0,0
672,Lisa Fire,11,33,0,0
673,Dexter Fire,10,22,0,0
674,Shaver Fire,10,10,0,0
675,Sandra Fire,10,3,0,0
676,Rincon Fire,10,19,0,0
677,Grizzly Fire,10,29,0,0
678,Navajo Fire,10,33,0,0
679,Rebie Fire,10,4,0,0
680,Lambs Fire,10,33,0,0
681,Shirleon Fire ,10,33,0,0
682,Twenty Fire,10,58,0,0
683,Champagne Fire,10,15,0,0
684,Moreno Fire,10,33,0,0
685,Soledad Fire,10,27,0,0
686,Pressley Fire (Central LNU Complex),0,49,0,0
687,Partrick Fire (Central LNU Complex),0,28,0,0
688,Rattlesnake Fire,0,22,0,0
689,Clear Complex (merged into Eclipse Complex),0,47,0,0
690,Warner Mountain Lightning,0,25,0,0
691,Klamath Fire,0,47,0,0
692, Cristianitos Fire,0,37,0,0
